Start,End,mean,standard deviation,min,max,median,mode,skew,Kurtosis,80_percentile,60_percentile,40_percentile,20_percentile,RMS,IQR,count>mean,count<mean,range,COV_M,Participant,Activity
1.51017931228e+12,1.51017937228e+12,0.59654,0.003905838,0.5838,0.6099,0.59605,0.5941,0.556055935,2.907623042,0.5984,0.59704,0.59526,0.5941,0.596552787,0.0039,0.45,0.55,0.0261,1.54e-05,17,NA
1.51017928228e+12,1.51017934228e+12,0.585406667,0.011637624,0.5666,0.6032,0.5832,0.5733,0.018519011,-1.686621659,0.59792,0.5938,0.57796,0.5732,0.585522331,0.024025,0.483333333,0.516666667,0.0366,0.000136572,17,NA
1.51017925228e+12,1.51017931228e+12,0.577184167,0.003944785,0.5666,0.5833,0.5783,0.5733,-0.526867334,-0.609281019,0.58082,0.57888,0.57726,0.5732,0.577197647,0.00715,0.608333333,0.391666667,0.0167,1.57e-05,17,NA
1.51017922228e+12,1.51017928228e+12,0.5811475,0.00186221,0.577,0.5849,0.58135,0.5809,-0.452164366,-0.506631739,0.5829,0.5816,0.581,0.57908,0.581150484,0.002525,0.583333333,0.416666667,0.0079,3.5e-06,17,NA
1.51017919228e+12,1.51017925228e+12,0.58423,0.005059901,0.573,0.5959,0.5826,0.5814,0.677009056,0.055764751,0.5886,0.58334,0.582,0.5812,0.584251911,0.0054,0.325,0.675,0.0229,2.58e-05,17,NA
1.51017916228e+12,1.51017922228e+12,0.5796625,0.008046646,0.5697,0.5959,0.57505,0.5743,0.687238783,-0.988711372,0.5886,0.58046,0.5744,0.573,0.579718347,0.0131,0.433333333,0.566666667,0.0262,6.53e-05,17,NA
1.51017913228e+12,1.51017919228e+12,0.575939167,0.003347967,0.5697,0.5829,0.5754,0.5743,0.27429175,-0.668748686,0.57884,0.57664,0.57456,0.57324,0.575948898,0.00455,0.466666667,0.533333333,0.0132,1.13e-05,17,NA
1.51017910228e+12,1.51017916228e+12,0.583290833,0.006325991,0.5754,0.5985,0.582,0.5963,0.875949262,-0.150159088,0.5876,0.58402,0.57958,0.57768,0.583325136,0.008925,0.441666667,0.558333333,0.0231,4.04e-05,17,NA
1.51017907228e+12,1.51017913228e+12,0.593976667,0.007433054,0.5765,0.6044,0.59785,0.5996,-0.637147022,-0.932877069,0.5999,0.5991,0.59514,0.58638,0.594023174,0.0127,0.625,0.375,0.0279,5.57e-05,17,NA
1.51017904228e+12,1.51017910228e+12,0.600831667,0.001553973,0.5976,0.6044,0.6007,0.5996,0.16164238,-0.418836288,0.60214,0.6013,0.6001,0.5996,0.600833676,0.0022,0.483333333,0.516666667,0.0068,2.44e-06,17,NA
1.51017901228e+12,1.51017907228e+12,0.599629167,0.002477983,0.5915,0.6043,0.60005,0.6013,-0.464235596,-0.023661903,0.6019,0.6007,0.59876,0.5974,0.599634287,0.00375,0.525,0.475,0.0128,6.19e-06,17,NA
1.51017898228e+12,1.51017904228e+12,0.5916925,0.007573618,0.572,0.6024,0.59465,0.5981,-0.917525072,-0.029483361,0.5981,0.5965,0.59142,0.58526,0.591740969,0.011225,0.583333333,0.416666667,0.0304,5.78e-05,17,NA
1.51017895228e+12,1.51017901228e+12,0.5910275,0.014577197,0.5309,0.614,0.5891,0.5881,-0.423445065,1.212896532,0.60654,0.59184,0.5874,0.58052,0.59120724,0.023125,0.433333333,0.566666667,0.0831,0.00021428,17,NA
1.51017892228e+12,1.51017898228e+12,0.59794,0.013150357,0.5309,0.614,0.6012,0.6015,-1.909603131,5.54852384,0.60654,0.60164,0.59866,0.59232,0.598084589,0.01085,0.675,0.325,0.0831,0.000174385,17,NA
1.51017889228e+12,1.51017895228e+12,0.5818525,0.020952589,0.5152,0.6065,0.5907,0.6015,-0.828213681,-0.077757475,0.60142,0.59742,0.57886,0.55974,0.582229631,0.035925,0.533333333,0.466666667,0.0913,0.0004427,17,NA
1.51017886228e+12,1.51017892228e+12,0.545223333,0.029200721,0.447,0.5968,0.5528,0.5389,-1.124596369,1.294553624,0.56682,0.55648,0.54306,0.52528,0.54600473,0.0294,0.583333333,0.416666667,0.1498,0.000859848,17,NA
1.51070372781e+12,1.51070378781e+12,9.997443333,0.015058695,9.8691,9.9999,9.9999,9.9999,-6.994424797,50.5561108,9.9999,9.9999,9.9999,9.9999,9.997454674,0.0,0.958333333,0.041666667,0.1308,0.00022867,19,Social Conversation 5
1.51070369781e+12,1.51070375781e+12,9.9997175,0.001308476,9.9891,9.9999,9.9999,9.9999,-7.4692651,54.56645574,9.9999,9.9999,9.9999,9.9999,9.999717586,0.0,0.975,0.025,0.0108,1.73e-06,19,Social Conversation 5
1.51070366781e+12,1.51070372781e+12,9.9999,1.95e-14,9.9999,9.9999,9.9999,9.9999,1.0,-2.0,9.9999,9.9999,9.9999,9.9999,9.9999,0.0,0.0,1.0,0.0,3.18e-30,19,Social Conversation 5
1.51070363781e+12,1.51070369781e+12,9.9999,1.95e-14,9.9999,9.9999,9.9999,9.9999,1.0,-2.0,9.9999,9.9999,9.9999,9.9999,9.9999,0.0,0.0,1.0,0.0,3.18e-30,19,Social Conversation 5
1.51070360781e+12,1.51070366781e+12,9.9999,1.95e-14,9.9999,9.9999,9.9999,9.9999,1.0,-2.0,9.9999,9.9999,9.9999,9.9999,9.9999,0.0,0.0,1.0,0.0,3.18e-30,19,Social Conversation 5
1.51070357781e+12,1.51070363781e+12,9.9999,1.95e-14,9.9999,9.9999,9.9999,9.9999,1.0,-2.0,9.9999,9.9999,9.9999,9.9999,9.9999,0.0,0.0,1.0,0.0,3.18e-30,19,Social Conversation 5
1.51070354781e+12,1.51070360781e+12,9.9999,1.95e-14,9.9999,9.9999,9.9999,9.9999,1.0,-2.0,9.9999,9.9999,9.9999,9.9999,9.9999,0.0,0.0,1.0,0.0,3.18e-30,19,Social Conversation 5
1.51070351781e+12,1.51070357781e+12,9.9999,1.95e-14,9.9999,9.9999,9.9999,9.9999,1.0,-2.0,9.9999,9.9999,9.9999,9.9999,9.9999,0.0,0.0,1.0,0.0,3.18e-30,19,Social Conversation 5
